state,sightings
Alabama,13.4306055
Alaska,44.913826
Arizona,37.76414368
Arkansas,20.16489949
California,23.92297297
Colorado,28.09522711
Connecticut,24.95720623
Delaware,18.48684093
District of Columbia,1.163240922
Florida,20.39392122
Georgia,12.95325958
Hawaii,19.26044309
Idaho,33.23441682
Illinois,19.47543512
Indiana,19.86357977
Iowa,22.25235151
Kansas,21.48516087
Kentucky,19.70341634
Louisiana,12.30842803
Maine,42.00665331
Maryland,14.49655642
Massachusetts,19.18196553
Michigan,18.57523308
Minnesota,19.08020947
Mississippi,12.63433243
Missouri,24.34492857
Montana,48.31127826
Nebraska,20.8613835
Nevada,29.73313126
New Hampshire,36.91701875
New Jersey,14.27444422
New Mexico,34.9651708
New York,15.37819497
North Carolina,18.24723366
North Dakota,19.17956083
Ohio,19.71963447
Oklahoma,19.29835036
Oregon,45.60080166
Pennsylvania,18.62568722
Puerto Rico,0.6709325452
Rhode Island,21.65384057
South Carolina,21.68460637
South Dakota,22.47629856
Tennessee,17.63239065
Texas,13.70788836
Utah,22.50452985
Vermont,41.55047184
Virginia,15.9104217
Washington,58.97798557
West Virginia,24.17686673
Wisconsin,21.66234211
Wyoming,31.04119255
